R_CC,R_GAP,R_OC
-55.0,470.0,-525.0
30.0,110.0,-80.0
85.0,165.0,-80.0
35.0,-120.0,155.0
385.0,-10.0,395.0
-115.0,-345.0,230.0
-70.0,150.0,-220.0
-35.0,30.0,-65.0
-125.0,50.0,-175.0
-10.0,170.0,-180.0
85.0,25.0,60.0
20.0,-65.0,85.0
420.0,185.0,235.0
715.0,-410.0,1125.0
785.0,-715.0,1500.0
355.0,-770.0,1125.0
-380.0,-300.0,-80.0
755.0,300.0,455.0
-355.0,-410.0,55.0
-145.0,505.0,-650.0
80.0,170.0,-90.0
415.0,-135.0,550.0
-135.0,-415.0,280.0
750.0,170.0,580.0
-65.0,-650.0,585.0
-290.0,65.0,-355.0
-30.0,160.0,-190.0
-550.0,55.0,-605.0
450.0,535.0,-85.0
-80.0,-160.0,80.0
-50.0,-300.0,250.0
375.0,35.0,340.0
-445.0,-445.0,0.0
195.0,410.0,-215.0
-120.0,-230.0,110.0
390.0,120.0,270.0
-300.0,-245.0,-55.0
50.0,315.0,-265.0
735.0,-25.0,760.0
10.0,-770.0,780.0
-30.0,35.0,-65.0
390.0,230.0,160.0
880.0,-295.0,1175.0
-340.0,-890.0,550.0
335.0,450.0,-115.0
485.0,-330.0,815.0
-255.0,-445.0,190.0
165.0,20.0,145.0
-10.0,90.0,-100.0
-210.0,-25.0,-185.0
830.0,190.0,640.0
335.0,-805.0,1140.0
-190.0,-330.0,140.0
-40.0,295.0,-335.0
40.0,205.0,-165.0
-90.0,-40.0,-50.0
90.0,105.0,-15.0
725.0,-115.0,840.0
-715.0,-755.0,40.0
860.0,695.0,165.0
0.0,-135.0,135.0
-50.0,-25.0,-25.0
-510.0,25.0,-535.0
-75.0,455.0,-530.0
-40.0,-255.0,215.0
-925.0,-170.0,-755.0
-60.0,960.0,-1020.0
-135.0,40.0,-175.0
250.0,155.0,95.0
-195.0,-150.0,-45.0
-70.0,210.0,-280.0
1210.0,280.0,930.0
80.0,-1080.0,1160.0
350.0,-105.0,455.0
620.0,-385.0,1005.0
115.0,-560.0,675.0
140.0,-120.0,260.0
-735.0,-330.0,-405.0
75.0,520.0,-445.0
270.0,-40.0,310.0
-230.0,-200.0,-30.0
335.0,215.0,120.0
-200.0,-350.0,150.0
-485.0,195.0,-680.0
50.0,670.0,-620.0
-390.0,10.0,-400.0
290.0,375.0,-85.0
-845.0,-270.0,-575.0
1010.0,920.0,90.0
-615.0,-720.0,105.0
420.0,-325.0,745.0
-235.0,-400.0,165.0
-140.0,200.0,-340.0
135.0,175.0,-40.0
-355.0,-85.0,-270.0
30.0,-310.0,340.0
-845.0,335.0,-1180.0
-550.0,850.0,-1400.0
330.0,600.0,-270.0
-1070.0,-225.0,-845.0
945.0,1105.0,-160.0
-600.0,-615.0,15.0
105.0,-170.0,275.0
895.0,-145.0,1040.0
-815.0,-860.0,45.0
280.0,770.0,-490.0
-540.0,-295.0,-245.0
1170.0,750.0,420.0
-65.0,-550.0,485.0
-250.0,-90.0,-160.0
-20.0,275.0,-295.0
-350.0,10.0,-360.0
45.0,335.0,-290.0
700.0,170.0,530.0
280.0,-725.0,1005.0
-670.0,-260.0,-410.0
-155.0,660.0,-815.0
190.0,235.0,-45.0
75.0,-180.0,255.0
-190.0,-110.0,-80.0
185.0,200.0,-15.0
65.0,-215.0,280.0
515.0,-105.0,620.0
-140.0,-535.0,395.0
95.0,120.0,-25.0
235.0,-70.0,305.0
-125.0,-315.0,190.0
-340.0,160.0,-500.0
485.0,370.0,115.0
-490.0,-475.0,-15.0
95.0,480.0,-385.0
225.0,90.0,135.0
-65.0,-345.0,280.0
-380.0,35.0,-415.0
-480.0,395.0,-875.0
500.0,550.0,-50.0
-340.0,-550.0,210.0
785.0,270.0,515.0
-195.0,-505.0,310.0
-230.0,125.0,-355.0
240.0,135.0,105.0
-105.0,-260.0,155.0
0.0,135.0,-135.0
345.0,155.0,190.0
195.0,-350.0,545.0
-245.0,-285.0,40.0
-250.0,220.0,-470.0
130.0,280.0,-150.0
-325.0,-20.0,-305.0
-510.0,-40.0,-470.0
405.0,775.0,-370.0
80.0,-300.0,380.0
120.0,-50.0,170.0
-5.0,-135.0,130.0
35.0,5.0,30.0
120.0,-75.0,195.0
410.0,-210.0,620.0
470.0,-410.0,880.0
-225.0,-495.0,270.0
215.0,230.0,-15.0
-40.0,-170.0,130.0
75.0,315.0,-240.0
460.0,-55.0,515.0
485.0,-445.0,930.0
330.0,-565.0,895.0
-65.0,-310.0,245.0
0.0,20.0,-20.0
-10.0,130.0,-140.0
770.0,-20.0,790.0
325.0,-730.0,1055.0
410.0,-345.0,755.0
-1190.0,-405.0,-785.0
620.0,1130.0,-510.0
-585.0,-380.0,-205.0
15.0,35.0,-20.0
-140.0,35.0,-175.0
-830.0,160.0,-990.0
-205.0,660.0,-865.0
125.0,115.0,10.0
-695.0,-415.0,-280.0
55.0,320.0,-265.0
-415.0,-5.0,-410.0
-1390.0,415.0,-1805.0
-35.0,1335.0,-1370.0
210.0,-15.0,225.0
530.0,130.0,400.0
65.0,-610.0,675.0
725.0,-65.0,790.0
-1265.0,-660.0,-605.0
-2045.0,1140.0,-3185.0
1335.0,1995.0,-660.0
-5945.0,-2750.0,-3195.0
2905.0,4455.0,-1550.0
870.0,-2505.0,3375.0
-290.0,-1115.0,825.0
265.0,-90.0,355.0
385.0,-240.0,625.0
780.0,-405.0,1185.0
165.0,-1115.0,1280.0
270.0,-100.0,370.0
1430.0,-295.0,1725.0
-550.0,-1385.0,835.0
-340.0,70.0,-410.0
905.0,860.0,45.0
-115.0,-800.0,685.0
250.0,35.0,215.0
180.0,-260.0,440.0
-25.0,-250.0,225.0
-320.0,35.0,-355.0
245.0,320.0,-75.0
75.0,-250.0,325.0
-20.0,5.0,-25.0
350.0,50.0,300.0
-30.0,-285.0,255.0
5.0,120.0,-115.0
105.0,50.0,55.0
-1795.0,-145.0,-1650.0
-380.0,1800.0,-2180.0
-260.0,325.0,-585.0
585.0,370.0,215.0
-720.0,-1435.0,715.0
-70.0,-75.0,5.0
-385.0,185.0,-570.0
1080.0,480.0,600.0
-565.0,-960.0,395.0
175.0,405.0,-230.0
-445.0,-145.0,-300.0
165.0,435.0,-270.0
710.0,-180.0,890.0
630.0,-665.0,1295.0
-145.0,-670.0,525.0
830.0,605.0,225.0
-395.0,-425.0,30.0
-150.0,210.0,-360.0
995.0,255.0,740.0
1195.0,-880.0,2075.0
-1005.0,-1040.0,35.0
-910.0,-670.0,-240.0
835.0,65.0,770.0
-1020.0,-780.0,-240.0
860.0,900.0,-40.0
-60.0,-710.0,650.0
-75.0,-90.0,15.0
885.0,940.0,-55.0
-410.0,-795.0,385.0
340.0,345.0,-5.0
20.0,-410.0,430.0
300.0,-145.0,445.0
-400.0,-335.0,-65.0
470.0,630.0,-160.0
225.0,-180.0,405.0
-710.0,-155.0,-555.0
-100.0,635.0,-735.0
-90.0,25.0,-115.0
210.0,175.0,35.0
-195.0,-105.0,-90.0
-585.0,80.0,-665.0
-365.0,645.0,-1010.0
90.0,460.0,-370.0
-145.0,10.0,-155.0
-80.0,210.0,-290.0
715.0,375.0,340.0
325.0,-700.0,1025.0
515.0,-270.0,785.0
-420.0,-415.0,-5.0
-940.0,480.0,-1420.0
130.0,685.0,-555.0
400.0,305.0,95.0
1035.0,-590.0,1625.0
-460.0,-1050.0,590.0
265.0,545.0,-280.0
-15.0,-335.0,320.0
60.0,-330.0,390.0
-145.0,-15.0,-130.0
-750.0,210.0,-960.0
-65.0,845.0,-910.0
90.0,140.0,-50.0
235.0,-10.0,245.0
-650.0,-510.0,-140.0
150.0,330.0,-180.0
25.0,-220.0,245.0
-395.0,-25.0,-370.0
300.0,460.0,-160.0
-380.0,-300.0,-80.0
775.0,540.0,235.0
-250.0,-395.0,145.0
-415.0,255.0,-670.0
310.0,330.0,-20.0
-210.0,-280.0,70.0
220.0,190.0,30.0
80.0,-245.0,325.0
