target,kind,horizon,model,N,MAE_RETURN,RMSE,MASE,MedianAE,sMAPE,forecast_bias,direction_accuracy,direction_balanced_accuracy,best_baseline,delta_vs_baseline_mae,mae_ci95_lo,mae_ci95_hi,dm_p,fdr_adj_p,accuracy,balanced_accuracy,precision,recall,F1,MCC
^N225,PRICE,1,LAST_VALUE,1094,0.0102772210807627,0.0147747194102542,0.9999999999026974,0.0076884577597054,199.99984162001957,-0.0008852209906175,0.5429616087751371,0.5,LAST_VALUE,0.0,-0.0016353525810741,-8.779602812917256e-05,,,,,,,,
^N225,PRICE,1,SEASONAL_NAIVE,1094,0.0102772210807627,0.0147747194102542,0.9999999999026974,0.0076884577597054,199.99984162001957,-0.0008852209906175,0.5429616087751371,0.5,LAST_VALUE,0.0,-0.0016353525810741,-8.779602812917256e-05,,,,,,,,
^N225,PRICE,1,DRIFT,1094,0.0102785029433188,0.0147668904902701,1.000124728420838,0.0076221360137067,183.39184938052617,-0.0006087182548911,0.5146252285191956,0.4925791245791245,LAST_VALUE,1.281862556131233e-06,-0.001373781876613,0.0001952813067532,,,,,,,,
^N225,PRICE,1,MOVING_AVERAGE,1094,0.0260795893886602,0.0339391078437358,2.537611011885237,0.0207324001255601,150.1422952825221,-0.0076649278498313,0.5127970749542962,0.5231784511784512,LAST_VALUE,0.0158023683078974,-0.0114572348744334,-0.003349246666138,,,,,,,,
^N225,PRICE,1,RIDGE,1094,0.0103185433335594,0.0147577836517785,1.0040207612026637,0.0077632766414126,180.95313625842525,-0.0009509297607766,0.4826325411334552,0.4838484848484848,LAST_VALUE,4.13222527967487e-05,-0.0017333895457494,-0.0001403332769517,0.8096529096154406,0.8096529096154406,,,,,,
^N225,PRICE,1,VAR,1094,0.0102916100628508,0.0148111461083406,1.0014000848063551,0.0076154077713741,181.32698091421676,-0.0006459984885853,0.506398537477148,0.4954478114478114,LAST_VALUE,1.43889820881319e-05,-0.0014299587943616,0.0001854900655216,0.6359166908834477,0.8096529096154406,,,,,,
^N225,PRICE,1,KALMAN,1094,0.0220980686977391,0.0291020951224487,2.1501988253374185,0.0178555196736099,147.36810379003302,-0.0073456781761481,0.5182815356489945,0.5306026936026936,LAST_VALUE,0.0118208476169764,-0.0104658739184297,-0.0036865065156102,0.0,0.0,,,,,,
^N225,DIRECTION,1,ALWAYS_UP,1094,,,,,,,,,,,,,,,0.5429616087751371,0.5,0.5429616087751371,1.0,0.7037914691943128,0.0
^N225,DIRECTION,1,ALWAYS_DOWN,1094,,,,,,,,,,,,,,,0.4570383912248629,0.5,0.0,0.0,0.0,0.0
^N225,DIRECTION,1,PREVIOUS_DIRECTION,1094,,,,,,,,,,,,,,,0.4981718464351005,0.4945185185185186,0.5379426644182125,0.5370370370370371,0.5374894692502106,-0.010961246942463
^N225,DIRECTION,1,MA_TREND,1094,,,,,,,,,,,,,,,0.4972577696526508,0.4867138047138047,0.5323529411764706,0.6094276094276094,0.5682888540031398,-0.0272931853795633
^N225,PRICE,3,LAST_VALUE,1092,0.017568489069062,0.0240291629116109,0.99999999994308,0.0138126560560464,199.99929631029545,-0.002602205567264,0.5457875457875457,0.5,DRIFT,1.2358351986947042e-05,-0.0047173271322096,-0.0005306192782522,,,,,,,,
^N225,PRICE,3,SEASONAL_NAIVE,1092,0.0228292804684629,0.0302079897237916,1.2994447261469717,0.0186101274979136,144.24577344787016,-0.0038887816953152,0.5228937728937729,0.5267238579779173,DRIFT,0.0052731497513877,-0.0070060098673082,-0.0006682247964088,,,,,,,,
^N225,PRICE,3,DRIFT,1092,0.0175561307170751,0.023985223697867,0.9992965614209816,0.0141288665412598,175.76377507570774,-0.001774562338795,0.5283882783882784,0.5050335570469799,DRIFT,0.0,-0.0038936299366542,0.0002503538335593,,,,,,,,
^N225,PRICE,3,MOVING_AVERAGE,1092,0.0294877172370737,0.0380395642050179,1.6784435542224794,0.0242921769359991,145.0370269858529,-0.0094284720516509,0.5064102564102564,0.5175430287941113,DRIFT,0.0119315865199986,-0.0136362473092711,-0.0046045237358278,,,,,,,,
^N225,PRICE,3,RIDGE,1092,0.0176328928503468,0.0242260520994162,1.0036658690470124,0.0139353849926619,184.015540310536,-0.0027488531284884,0.4990842490842491,0.4986536588006062,DRIFT,7.676213327166212e-05,-0.0048654603581991,-0.0006241883583623,0.2456985860104987,0.3685478790157481,,,,,,
^N225,PRICE,3,VAR,1092,0.0175287462264243,0.0239956370833732,0.997737833715852,0.0140266749818577,175.77169256912154,-0.0017814408584157,0.5238095238095238,0.5026994479324529,DRIFT,-2.738449065077184e-05,-0.0039227382413817,0.0002734597845498,0.8355128349028469,0.8355128349028469,,,,,,
^N225,PRICE,3,KALMAN,1092,0.0260405681117468,0.0339333010272039,1.4822315116512632,0.0213568459977166,143.4975558942005,-0.009101488554991,0.5155677655677655,0.5288076423468283,DRIFT,0.0084844373946716,-0.0128640779805592,-0.0049509696410356,1.056932319443149e-13,3.170796958329447e-13,,,,,,
^N225,DIRECTION,3,ALWAYS_UP,1092,,,,,,,,,,,,,,,0.5457875457875457,0.5,0.5457875457875457,1.0,0.7061611374407583,0.0
^N225,DIRECTION,3,ALWAYS_DOWN,1092,,,,,,,,,,,,,,,0.4542124542124542,0.5,0.0,0.0,0.0,0.0
^N225,DIRECTION,3,PREVIOUS_DIRECTION,1092,,,,,,,,,,,,,,,0.4606227106227106,0.4564840874648193,0.505922165820643,0.5016778523489933,0.5037910699241785,-0.086961987233257
^N225,DIRECTION,3,MA_TREND,1092,,,,,,,,,,,,,,,0.489010989010989,0.4775857869668759,0.5279411764705882,0.6023489932885906,0.5626959247648903,-0.0460483840899033
^N225,PRICE,5,LAST_VALUE,1090,0.0228933375501049,0.0303300567330816,0.9999999999563192,0.018723630188625,199.99993951082203,-0.004306578517442,0.5798165137614679,0.5,DRIFT,5.801636133472357e-05,-0.0076393089965019,-0.0012158532477508,,,,,,,,
^N225,PRICE,5,SEASONAL_NAIVE,1090,0.0300995850798563,0.0392150799334558,1.3147748777418269,0.023931697907579,143.51675024465155,-0.0070091505016759,0.5100917431192661,0.5210256481123211,DRIFT,0.0072642638910861,-0.0115825985288315,-0.0024372578391507,,,,,,,,
^N225,PRICE,5,DRIFT,1090,0.0228353211887701,0.0302302151490384,0.9974657971034055,0.0187231322496095,171.67953745591998,-0.0029302489125437,0.5440366972477064,0.5034098446741474,DRIFT,0.0,-0.0062125514545809,0.0001473447798982,,,,,,,,
^N225,PRICE,5,MOVING_AVERAGE,1090,0.0325390060370071,0.0417300966015894,1.4213308113930587,0.0264020893523472,143.2198020973904,-0.011201901060969,0.5,0.5198372118733072,DRIFT,0.0097036848482369,-0.0158522989252654,-0.0059239913447544,,,,,,,,
^N225,PRICE,5,RIDGE,1090,0.0229174412867488,0.0305714385944308,1.001052871194081,0.0184849144434318,185.7513457546041,-0.0044565111084323,0.5174311926605505,0.517436156099718,DRIFT,8.2120097978651e-05,-0.0077863875224113,-0.0013595394609169,0.2284042020669283,0.3426063031003925,,,,,,
^N225,PRICE,5,VAR,1090,0.0228216783334814,0.030265126944995,0.9968698658523034,0.0186206164022647,171.91818923141815,-0.0029102308111303,0.5412844036697247,0.5016375545851528,DRIFT,-1.3642855288736875e-05,-0.0062169500352154,0.0001654750850055,0.5472095937008021,0.5472095937008021,,,,,,
^N225,PRICE,5,KALMAN,1090,0.0295054217185707,0.038159230443364,1.2888213285942087,0.023955123151779,143.01835030613597,-0.0108681331881321,0.5036697247706422,0.5272096622630037,DRIFT,0.0066701005298005,-0.0151856072737811,-0.006041455227465,1.8390251099731362e-08,5.517075329919408e-08,,,,,,
^N225,DIRECTION,5,ALWAYS_UP,1090,,,,,,,,,,,,,,,0.5798165137614679,0.5,0.5798165137614679,1.0,0.7340301974448317,0.0
^N225,DIRECTION,5,ALWAYS_DOWN,1090,,,,,,,,,,,,,,,0.4201834862385321,0.5,0.0,0.0,0.0,0.0
^N225,DIRECTION,5,PREVIOUS_DIRECTION,1090,,,,,,,,,,,,,,,0.4963302752293578,0.4893213476314189,0.5702199661590525,0.5332278481012658,0.5511038430089942,-0.0211589303673418
^N225,DIRECTION,5,MA_TREND,1090,,,,,,,,,,,,,,,0.4954128440366973,0.4750048366591122,0.5602941176470588,0.6028481012658228,0.5807926829268292,-0.0509367073953276
^N225,DIRECTION,1,xgboost,207,,,,,,,,,,,,,,,0.5362318840579711,0.5326086956521738,0.5855855855855856,0.5652173913043478,0.575221238938053,0.06498440561375454
^N225,DIRECTION,1,lightgbm,207,,,,,,,,,,,,,,,0.5458937198067633,0.5434782608695652,0.5963302752293578,0.5652173913043478,0.5803571428571428,0.08654036183076895
^N225,DIRECTION,3,xgboost,207,,,,,,,,,,,,,,,0.5362318840579711,0.5384615384615385,0.6039603960396039,0.5213675213675214,0.5596330275229358,0.07628817291496719
^N225,DIRECTION,3,lightgbm,207,,,,,,,,,,,,,,,0.5314009661835749,0.5341880341880342,0.6,0.5128205128205128,0.5529953917050691,0.0678307192219377
^N225,DIRECTION,5,xgboost,206,,,,,,,,,,,,,,,0.5145631067961165,0.5083782742681048,0.5803571428571429,0.5508474576271186,0.5652173913043478,0.016641557519465423
^N225,DIRECTION,5,lightgbm,206,,,,,,,,,,,,,,,0.5242718446601942,0.5154083204930663,0.5862068965517241,0.576271186440678,0.5811965811965812,0.03073387985956951
^N225,PRICE,1,chronos-2,110,0.01106945193824173,0.01786538303127678,1.0667292156400003,,,,0.4909090909090909,0.4854111405835544,,,,,,,,,,,,
^N225,PRICE,1,timesfm-3.0,110,0.010430833633350957,0.015542851360995338,1.0051875234884657,,,,0.4818181818181818,0.4807692307692308,,,,,,,,,,,,
^N225,PRICE,3,chronos-2,110,0.019396133380570786,0.025397426711995054,1.0262915791360123,,,,0.509090909090909,0.49252717391304346,,,,,,,,,,,,
^N225,PRICE,3,timesfm-3.0,110,0.018547763631142206,0.023863295641618563,0.9814024915664021,,,,0.5727272727272728,0.5686141304347826,,,,,,,,,,,,
^N225,PRICE,5,chronos-2,109,0.023568794977593968,0.029925241182245925,1.031464940517645,,,,0.5321100917431193,0.5188775510204082,,,,,,,,,,,,
^N225,PRICE,5,timesfm-3.0,109,0.023595901447913046,0.02999508026061962,1.0326512283113949,,,,0.5596330275229358,0.5551020408163265,,,,,,,,,,,,
^N225,PRICE,1,equal_weight,1094,0.012014921039952949,0.016569440624147287,1.1690826678112254,,,,0.5228519195612431,0.5344949494949496,,,,,,,,,,,,
^N225,PRICE,1,dynamic,1094,0.010822351050635235,0.015176644755589774,1.0530425456974792,,,,0.5274223034734917,0.5387037037037037,,,,,,,,,,,,
^N225,PRICE,3,equal_weight,1092,0.018335044644008744,0.024790391355359268,1.0436324131739316,,,,0.5164835164835165,0.5286317384715307,,,,,,,,,,,,
^N225,PRICE,3,dynamic,1092,0.017795628011348305,0.02421601411477284,1.0129287692516071,,,,0.5210622710622711,0.5323189543191167,,,,,,,,,,,,
^N225,PRICE,5,equal_weight,1090,0.02327434189905896,0.030696286501485016,1.0166425863901898,,,,0.5027522935779817,0.5228117572273506,,,,,,,,,,,,
^N225,PRICE,5,dynamic,1090,0.02287946197688524,0.030238563293730994,0.9993939033926921,,,,0.5064220183486239,0.5253751865568514,,,,,,,,,,,,
